Designator,Mid X,Mid Y,Rotation,Layer
C1,142.515305,-94.355,0.0,bottom
C10,143.378305,-98.84025,180.0,bottom
C11,147.442305,-111.41325,270.0,bottom
C12,143.378305,-100.36425,180.0,bottom
C13,145.535305,-87.51,0.0,bottom
C14,142.515305,-95.555,180.0,bottom
C15,155.570305,-115.239018,270.0,bottom
C16,148.867555,-114.985018,90.0,bottom
C17,153.335305,-90.57,180.0,bottom
C2,149.855305,-95.79225,90.0,bottom
C3,142.51,-105.04,180.0,bottom
C4,146.073555,-97.586018,90.0,bottom
C5,155.090555,-100.126018,90.0,bottom
C6,148.966305,-111.41325,270.0,bottom
C7,147.089555,-97.586018,90.0,bottom
C8,156.19,-105.04,0.0,bottom
C9,151.379305,-95.79225,90.0,bottom
D1,141.985305,-91.34,90.0,bottom
D2,139.6,-86.41,90.0,bottom
D3,41.01,-30.68,0.0,top
D4,48.9,-30.68,0.0,top
D5,33.12,-30.68,0.0,top
J2,155.833893,-55.38,270.0,top
R1,149.425305,-92.07,270.0,bottom
R10,137.865305,-98.535,90.0,bottom
R2,147.895305,-92.07,270.0,bottom
R3,143.935305,-110.86,0.0,bottom
R4,150.998305,-111.41325,90.0,bottom
R5,162.585305,-88.65,270.0,bottom
R6,139.405305,-98.535,270.0,bottom
R7,43.55,-33.7,90.0,bottom
R8,51.44,-33.7,90.0,bottom
R9,35.66,-33.7,90.0,bottom
SW1,159.48,-84.79,180.0,bottom
SW11,89.38097,-63.222867,0.0,bottom
SW13,111.545193,-79.501627,0.0,bottom
SW15,149.508893,-68.782674,0.0,bottom
SW17,187.651278,-114.182617,0.0,bottom
SW18,181.768982,-52.668247,0.0,bottom
SW2,36.225768,-69.912352,0.0,bottom
SW21,187.472593,-79.501627,0.0,bottom
SW22,168.962667,-134.356526,0.0,bottom
SW24,203.884748,-36.161516,0.0,bottom
SW27,209.636816,-63.222867,0.0,bottom
SW28,193.954568,-144.467998,0.0,bottom
SW31,231.271486,-33.486983,0.0,bottom
SW33,236.991129,-60.39579,0.0,bottom
SW34,175.26596,-164.64191,0.0,bottom
SW36,257.390192,-40.810408,0.0,bottom
SW38,262.792018,-69.912352,0.0,bottom
SW4,103.820267,-144.26,0.0,bottom
SW40,212.97278,-124.909797,0.0,bottom
SW42,64.67,-28.43,0.0,top
SW43,77.19,-28.43,0.0,top
SW7,62.026657,-60.39579,0.0,bottom
SW9,122.508879,-164.433909,0.0,bottom
U1,149.855305,-103.825,180.0,bottom
U2,145.082805,-89.75,0.0,bottom
U3,158.985305,-92.48,180.0,bottom
Y1,152.141305,-114.96925,0.0,bottom
